Age,Job,Marital,Education,Default,Housing,Loan,Contact,Day_Of_Week,Month,Output
54,Management,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
54,Blue-Collar,Divorced,Basic 4Y,No,No,No,Telephone,Mon,May,No
55,Unknown,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
34,Services,Married,High School,No,No,No,Telephone,Mon,May,No
52,Technician,Married,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
41,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
56,Technician,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
58,Management,Unknown,University Degree,No,Yes,No,Telephone,Mon,May,No
32,Entrepreneur,Married,High School,No,Yes,No,Telephone,Mon,May,No
38,Admin ,Single,Professional Course,No,No,No,Telephone,Mon,May,No
57,Admin ,Married,University Degree,No,No,Yes,Telephone,Mon,May,No
44,Admin ,Married,University Degree,Unknown,Yes,No,Telephone,Mon,May,No
42,Technician,Single,Professional Course,Unknown,No,No,Telephone,Mon,May,No
57,Admin ,Married,University Degree,No,Yes,Yes,Telephone,Mon,May,No
40,Blue-Collar,Married,Basic 9Y,No,No,Yes,Telephone,Mon,May,No
35,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
45,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
54,Admin ,Married,High School,No,No,No,Telephone,Mon,May,No
39,Housemaid,Married,Basic 4Y,No,No,Yes,Telephone,Mon,May,No
60,Admin ,Married,High School,No,No,No,Telephone,Mon,May,No
53,Admin ,Single,Professional Course,No,No,No,Telephone,Mon,May,No
55,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
55,Technician,Married,Professional Course,Unknown,Yes,No,Telephone,Mon,May,No
50,Management,Married,University Degree,Unknown,No,Yes,Telephone,Mon,May,No
45,Services,Married,High School,Unknown,Yes,No,Telephone,Mon,May,No
55,Unemployed,Married,Professional Course,Unknown,Yes,Yes,Telephone,Mon,May,No
25,Technician,Single,University Degree,No,Yes,No,Telephone,Mon,May,No
47,Entrepreneur,Married,University Degree,Unknown,No,No,Telephone,Mon,May,No
51,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,May,No
48,Admin ,Married,High School,No,No,No,Telephone,Mon,May,No
37,Admin ,Married,University Degree,No,No,No,Telephone,Mon,May,No
44,Blue-Collar,Single,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
33,Admin ,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
56,Admin ,Married,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
44,Blue-Collar,Single,Basic 4Y,Unknown,Yes,Yes,Telephone,Mon,May,No
41,Management,Married,Basic 6Y,No,No,No,Telephone,Mon,May,No
44,Management,Divorced,University Degree,No,Yes,No,Telephone,Mon,May,No
47,Admin ,Married,University Degree,Unknown,Yes,No,Telephone,Mon,May,No
57,Unknown,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
37,Admin ,Married,University Degree,Unknown,Yes,No,Telephone,Mon,May,No
41,Blue-Collar,Divorced,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,Yes
55,Technician,Married,University Degree,No,No,No,Telephone,Mon,May,No
33,Services,Married,High School,Unknown,Yes,No,Telephone,Mon,May,No
55,Management,Married,Unknown,Unknown,Yes,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
50,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
51,Blue-Collar,Married,Basic 4Y,Unknown,Unknown,Unknown,Telephone,Mon,May,No
38,Admin ,Married,High School,Unknown,No,No,Telephone,Mon,May,No
49,Entrepreneur,Married,University Degree,Unknown,Yes,No,Telephone,Mon,May,Yes
38,Technician,Single,University Degree,No,No,Yes,Telephone,Mon,May,No
31,Admin ,Divorced,High School,No,No,No,Telephone,Mon,May,No
41,Management,Married,Basic 6Y,No,No,No,Telephone,Mon,May,No
39,Admin ,Married,University Degree,No,Yes,Yes,Telephone,Mon,May,No
49,Technician,Married,Basic 9Y,No,No,No,Telephone,Mon,May,Yes
34,Admin ,Married,High School,No,Yes,No,Telephone,Mon,May,No
35,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
57,Unknown,Married,Unknown,Unknown,Yes,No,Telephone,Mon,May,No
60,Admin ,Married,Unknown,Unknown,No,Yes,Telephone,Mon,May,No
33,Unemployed,Married,Basic 9Y,No,No,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 6Y,No,No,Yes,Telephone,Mon,May,No
45,Services,Married,Professional Course,No,Yes,No,Telephone,Mon,May,No
42,Management,Married,University Degree,No,No,No,Telephone,Mon,May,No
53,Admin ,Divorced,University Degree,Unknown,No,No,Telephone,Mon,May,No
37,Technician,Single,Professional Course,No,No,No,Telephone,Mon,May,No
44,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,Mon,May,No
54,Services,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
49,Blue-Collar,Married,Basic 4Y,No,No,No,Telephone,Mon,May,No
54,Services,Married,Unknown,No,No,No,Telephone,Mon,May,No
52,Admin ,Divorced,University Degree,No,No,No,Telephone,Mon,May,No
52,Admin ,Divorced,University Degree,No,No,No,Telephone,Mon,May,No
43,Services,Single,High School,Unknown,No,No,Telephone,Mon,May,No
34,Housemaid,Married,Basic 6Y,No,Yes,No,Telephone,Mon,May,No
35,Admin ,Married,High School,No,Yes,No,Telephone,Mon,May,No
42,Entrepreneur,Married,Unknown,Unknown,Yes,No,Telephone,Mon,May,No
43,Technician,Married,Unknown,Unknown,Yes,Yes,Telephone,Mon,May,No
60,Retired,Divorced,University Degree,Unknown,No,No,Telephone,Mon,May,No
58,Unemployed,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
35,Services,Divorced,High School,No,Yes,No,Telephone,Mon,May,No
55,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,May,No
37,Management,Married,University Degree,No,No,No,Telephone,Mon,May,No
36,Blue-Collar,Married,High School,No,No,No,Telephone,Mon,May,No
52,Admin ,Divorced,University Degree,No,No,No,Telephone,Mon,May,No
57,Blue-Collar,Divorced,Unknown,Unknown,Yes,No,Telephone,Mon,May,No
56,Admin ,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
48,Blue-Collar,Divorced,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
40,Blue-Collar,Married,High School,Unknown,Yes,No,Telephone,Mon,May,No
49,Blue-Collar,Divorced,High School,No,No,No,Telephone,Mon,May,No
41,Services,Married,High School,No,No,No,Telephone,Mon,May,No
45,Technician,Married,High School,No,Yes,No,Telephone,Mon,May,No
32,Admin ,Married,University Degree,No,Yes,Yes,Telephone,Mon,May,No
42,Admin ,Married,University Degree,No,No,Yes,Telephone,Mon,May,No
50,Admin ,Married,Basic 6Y,No,No,No,Telephone,Mon,May,No
31,Technician,Divorced,Professional Course,No,Yes,Yes,Telephone,Mon,May,No
56,Retired,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
41,Technician,Married,Professional Course,Unknown,Yes,No,Telephone,Mon,May,Yes
37,Blue-Collar,Married,Basic 6Y,No,Yes,Yes,Telephone,Mon,May,No
41,Technician,Married,Professional Course,Unknown,No,No,Telephone,Mon,May,No
35,Blue-Collar,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
37,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Mon,May,No
52,Management,Married,University Degree,No,No,No,Telephone,Mon,May,No
39,Management,Divorced,University Degree,No,No,No,Telephone,Mon,May,No
39,Housemaid,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
56,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
34,Services,Married,High School,No,Yes,No,Telephone,Mon,May,No
45,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,May,Yes
43,Unemployed,Single,University Degree,No,Yes,No,Telephone,Mon,May,No
56,Management,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
39,Management,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
53,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
38,Unknown,Divorced,High School,Unknown,Yes,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
35,Admin ,Single,High School,No,Yes,No,Telephone,Mon,May,No
40,Admin ,Married,University Degree,Unknown,Yes,No,Telephone,Mon,May,No
51,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
60,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
56,Entrepreneur,Married,Unknown,Unknown,Yes,No,Telephone,Mon,May,No
39,Services,Divorced,High School,Unknown,Yes,No,Telephone,Mon,May,No
56,Entrepreneur,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
40,Blue-Collar,Married,Unknown,No,Yes,Yes,Telephone,Mon,May,No
36,Blue-Collar,Married,Basic 9Y,No,Yes,Yes,Telephone,Mon,May,No
51,Blue-Collar,Married,Unknown,Unknown,Yes,No,Telephone,Mon,May,No
51,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
43,Technician,Single,Professional Course,No,Yes,No,Telephone,Mon,May,No
59,Services,Married,High School,No,No,No,Telephone,Mon,May,No
24,Management,Single,University Degree,No,Yes,No,Telephone,Mon,May,No
37,Blue-Collar,Single,Basic 9Y,Unknown,Yes,Yes,Telephone,Mon,May,No
40,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
39,Services,Divorced,High School,Unknown,No,No,Telephone,Mon,May,No
37,Entrepreneur,Married,Basic 6Y,No,No,No,Telephone,Mon,May,No
38,Services,Married,High School,No,Yes,Yes,Telephone,Mon,May,No
56,Admin ,Divorced,Unknown,Unknown,No,No,Telephone,Mon,May,No
40,Blue-Collar,Married,Unknown,No,No,No,Telephone,Mon,May,No
54,Management,Divorced,University Degree,No,Yes,No,Telephone,Mon,May,No
43,Blue-Collar,Married,High School,Unknown,No,Yes,Telephone,Mon,May,No
36,Services,Married,High School,Unknown,No,No,Telephone,Mon,May,No
45,Technician,Married,University Degree,No,Yes,Yes,Telephone,Mon,May,No
42,Admin ,Single,University Degree,Unknown,No,No,Telephone,Mon,May,No
43,Services,Married,High School,No,No,No,Telephone,Mon,May,No
46,Management,Married,Basic 9Y,No,No,No,Telephone,Mon,May,No
44,Services,Married,High School,No,Yes,Yes,Telephone,Mon,May,No
51,Admin ,Single,Basic 6Y,No,No,No,Telephone,Mon,May,No
28,Services,Married,High School,No,Yes,No,Telephone,Mon,May,No
37,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,May,No
34,Technician,Married,High School,No,No,No,Telephone,Mon,May,No
46,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 9Y,No,Yes,Yes,Telephone,Mon,May,Yes
36,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
54,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
57,Management,Married,University Degree,No,No,No,Telephone,Mon,May,No
51,Technician,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,May,No
54,Retired,Married,High School,Unknown,No,No,Telephone,Mon,May,No
49,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
34,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
41,Technician,Married,Professional Course,No,No,No,Telephone,Mon,May,No
38,Blue-Collar,Single,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
45,Management,Divorced,University Degree,No,No,No,Telephone,Mon,May,No
42,Technician,Married,University Degree,No,No,No,Telephone,Mon,May,No
34,Blue-Collar,Single,Basic 9Y,Unknown,Yes,No,Telephone,Mon,May,No
48,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
37,Admin ,Married,High School,Unknown,Yes,No,Telephone,Mon,May,No
34,Blue-Collar,Single,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
40,Admin ,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,May,No
43,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Mon,May,No
33,Services,Married,High School,No,No,No,Telephone,Mon,May,No
32,Services,Single,Basic 6Y,No,No,No,Telephone,Mon,May,No
39,Blue-Collar,Married,High School,No,Yes,No,Telephone,Mon,May,No
43,Admin ,Married,Unknown,No,No,No,Telephone,Mon,May,No
44,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
35,Student,Single,University Degree,Unknown,No,No,Telephone,Mon,May,No
35,Student,Single,University Degree,Unknown,Yes,Yes,Telephone,Mon,May,No
35,Unemployed,Married,Professional Course,No,No,No,Telephone,Mon,May,No
36,Services,Single,Basic 4Y,No,No,No,Telephone,Mon,May,No
35,Student,Single,University Degree,Unknown,Yes,No,Telephone,Mon,May,No
36,Student,Single,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
55,Housemaid,Divorced,University Degree,No,No,No,Telephone,Mon,May,No
59,Admin ,Married,University Degree,No,No,No,Telephone,Mon,May,No
57,Retired,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
39,Blue-Collar,Married,Professional Course,Unknown,Yes,No,Telephone,Mon,May,No
39,Housemaid,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
30,Blue-Collar,Single,Unknown,No,Yes,No,Telephone,Mon,May,No
30,Blue-Collar,Single,Unknown,No,Yes,Yes,Telephone,Mon,May,No
50,Housemaid,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
40,Services,Married,High School,No,No,No,Telephone,Mon,May,No
35,Admin ,Married,High School,No,Yes,No,Telephone,Mon,May,No
43,Technician,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
36,Services,Single,Basic 6Y,Unknown,Yes,No,Telephone,Mon,May,No
46,Technician,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
40,Technician,Married,Basic 9Y,No,No,No,Telephone,Mon,May,No
58,Retired,Married,University Degree,No,No,No,Telephone,Mon,May,No
42,Technician,Married,University Degree,No,No,No,Telephone,Mon,May,No
35,Admin ,Single,University Degree,No,No,No,Telephone,Mon,May,No
43,Retired,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
45,Blue-Collar,Married,Basic 4Y,No,Yes,Yes,Telephone,Mon,May,No
39,Admin ,Married,Professional Course,No,Yes,No,Telephone,Mon,May,No
50,Services,Divorced,Professional Course,No,Yes,No,Telephone,Mon,May,No
32,Management,Divorced,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
39,Admin ,Married,High School,Unknown,No,No,Telephone,Mon,May,No
52,Self-Employed,Married,University Degree,Unknown,No,No,Telephone,Mon,May,No
44,Admin ,Married,Professional Course,No,Yes,No,Telephone,Mon,May,No
56,Blue-Collar,Married,Basic 4Y,No,No,No,Telephone,Mon,May,No
48,Admin ,Married,High School,No,No,No,Telephone,Mon,May,No
33,Services,Married,High School,Unknown,No,Yes,Telephone,Mon,May,No
43,Management,Married,University Degree,Unknown,No,Yes,Telephone,Mon,May,No
57,Retired,Married,High School,No,No,No,Telephone,Mon,May,No
36,Technician,Single,Professional Course,No,No,No,Telephone,Mon,May,No
34,Management,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
34,Services,Single,Basic 9Y,No,No,No,Telephone,Mon,May,No
30,Technician,Married,University Degree,Unknown,No,No,Telephone,Mon,May,No
33,Services,Divorced,Unknown,No,No,No,Telephone,Mon,May,No
32,Technician,Single,Professional Course,No,No,No,Telephone,Mon,May,No
36,Technician,Single,High School,No,Yes,No,Telephone,Mon,May,No
36,Blue-Collar,Single,High School,No,No,Yes,Telephone,Mon,May,No
33,Services,Single,High School,No,No,No,Telephone,Mon,May,No
40,Technician,Divorced,Professional Course,No,No,No,Telephone,Mon,May,No
41,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
51,Services,Married,Basic 6Y,No,Yes,No,Telephone,Mon,May,No
36,Technician,Married,Professional Course,No,Yes,No,Telephone,Mon,May,No
28,Services,Married,Unknown,No,No,No,Telephone,Mon,May,No
53,Services,Married,High School,No,Yes,Yes,Telephone,Mon,May,No
58,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,May,No
45,Management,Married,Basic 9Y,No,No,Yes,Telephone,Mon,May,No
43,Technician,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
33,Admin ,Married,High School,No,No,Yes,Telephone,Mon,May,No
33,Admin ,Married,High School,No,No,Yes,Telephone,Mon,May,No
27,Blue-Collar,Single,Basic 6Y,No,Unknown,Unknown,Telephone,Mon,May,No
42,Technician,Married,High School,No,No,No,Telephone,Mon,May,No
43,Admin ,Divorced,Basic 9Y,No,No,No,Telephone,Mon,May,No
42,Admin ,Married,University Degree,No,No,No,Telephone,Mon,May,No
27,Blue-Collar,Single,Basic 6Y,No,No,No,Telephone,Mon,May,No
34,Self-Employed,Single,University Degree,No,Yes,No,Telephone,Mon,May,No
31,Student,Single,University Degree,Unknown,No,No,Telephone,Mon,May,No
54,Management,Divorced,University Degree,No,No,No,Telephone,Mon,May,No
40,Self-Employed,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
52,Unemployed,Married,High School,Unknown,Yes,No,Telephone,Mon,May,No
47,Management,Divorced,University Degree,No,No,No,Telephone,Mon,May,No
49,Housemaid,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
32,Admin ,Single,High School,No,No,No,Telephone,Mon,May,No
49,Housemaid,Single,High School,Unknown,Yes,Yes,Telephone,Mon,May,No
50,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
34,Services,Married,High School,No,No,No,Telephone,Mon,May,No
55,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,May,No
47,Technician,Single,Basic 9Y,No,No,No,Telephone,Mon,May,No
51,Retired,Married,Professional Course,No,No,No,Telephone,Mon,May,No
47,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,Mon,May,No
56,Technician,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
53,Admin ,Married,Basic 9Y,No,No,No,Telephone,Mon,May,No
36,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
42,Blue-Collar,Divorced,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
44,Blue-Collar,Divorced,Basic 6Y,No,No,No,Telephone,Mon,May,No
39,Housemaid,Married,Basic 9Y,No,Yes,No,Telephone,Mon,May,Yes
37,Admin ,Single,High School,No,Yes,Yes,Telephone,Mon,May,No
60,Blue-Collar,Married,Unknown,Unknown,Yes,No,Telephone,Mon,May,No
36,Services,Married,High School,No,No,No,Telephone,Mon,May,No
42,Management,Divorced,University Degree,No,Yes,No,Telephone,Mon,May,No
31,Admin ,Married,High School,No,Yes,Yes,Telephone,Mon,May,No
53,Technician,Divorced,Professional Course,Unknown,No,Yes,Telephone,Mon,May,No
45,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
37,Technician,Single,Professional Course,No,Yes,No,Telephone,Mon,May,No
47,Self-Employed,Married,Professional Course,No,No,No,Telephone,Mon,May,No
49,Blue-Collar,Divorced,High School,No,No,Yes,Telephone,Mon,May,No
36,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
35,Services,Divorced,High School,No,No,No,Telephone,Mon,May,No
38,Unknown,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
38,Services,Single,High School,Unknown,No,No,Telephone,Mon,May,No
50,Blue-Collar,Divorced,High School,Unknown,No,Yes,Telephone,Mon,May,No
59,Retired,Married,Professional Course,Unknown,No,No,Telephone,Mon,May,No
43,Unknown,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
42,Admin ,Married,High School,No,Yes,No,Telephone,Mon,May,No
40,Admin ,Married,Basic 6Y,Unknown,Yes,No,Telephone,Mon,May,No
46,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
57,Housemaid,Divorced,Basic 4Y,No,Yes,Yes,Telephone,Mon,May,No
42,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
41,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
54,Management,Divorced,University Degree,No,Yes,No,Telephone,Mon,May,No
27,Admin ,Single,University Degree,No,No,No,Telephone,Mon,May,No
36,Admin ,Married,High School,No,No,No,Telephone,Mon,May,No
58,Blue-Collar,Married,Professional Course,Unknown,Yes,No,Telephone,Mon,May,No
40,Management,Married,University Degree,Unknown,Yes,No,Telephone,Mon,May,No
34,Admin ,Single,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
33,Admin ,Divorced,High School,No,No,No,Telephone,Mon,May,No
56,Retired,Married,Basic 6Y,No,No,No,Telephone,Mon,May,No
42,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,May,No
43,Services,Married,High School,No,Yes,No,Telephone,Mon,May,No
54,Management,Single,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
53,Admin ,Single,Basic 6Y,No,Yes,Yes,Telephone,Mon,May,No
42,Technician,Single,Unknown,No,No,No,Telephone,Mon,May,No
40,Services,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,May,No
54,Technician,Married,Professional Course,No,Yes,Yes,Telephone,Mon,May,No
40,Housemaid,Single,Professional Course,No,No,No,Telephone,Mon,May,No
26,Admin ,Single,University Degree,No,Yes,No,Telephone,Mon,May,No
33,Admin ,Married,High School,No,No,No,Telephone,Mon,May,No
35,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
36,Admin ,Married,High School,No,No,No,Telephone,Mon,May,No
29,Services,Single,High School,No,Yes,No,Telephone,Mon,May,No
36,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,May,No
35,Management,Married,High School,No,Yes,No,Telephone,Mon,May,No
50,Self-Employed,Single,University Degree,No,No,Yes,Telephone,Mon,May,No
46,Services,Married,High School,Unknown,Yes,No,Telephone,Mon,May,No
49,Entrepreneur,Married,High School,No,Yes,No,Telephone,Mon,May,No
42,Technician,Single,Professional Course,Unknown,Yes,No,Telephone,Mon,May,No
36,Blue-Collar,Single,High School,No,Yes,Yes,Telephone,Mon,May,No
55,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,May,No
41,Management,Married,University Degree,Unknown,No,No,Telephone,Mon,May,No
57,Management,Married,Professional Course,Unknown,Yes,No,Telephone,Mon,May,No
32,Services,Single,High School,No,Yes,No,Telephone,Mon,May,No
49,Admin ,Married,Basic 9Y,No,No,No,Telephone,Mon,May,No
57,Unknown,Married,Unknown,Unknown,Yes,No,Telephone,Mon,May,No
58,Blue-Collar,Divorced,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
52,Technician,Married,High School,No,Yes,No,Telephone,Mon,May,No
50,Services,Divorced,Professional Course,No,No,No,Telephone,Mon,May,No
41,Blue-Collar,Single,Basic 9Y,Unknown,Yes,No,Telephone,Mon,May,No
33,Entrepreneur,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
57,Blue-Collar,Married,Basic 4Y,No,No,No,Telephone,Mon,May,No
48,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,May,No
55,Technician,Married,Professional Course,No,No,No,Telephone,Mon,May,No
38,Management,Married,University Degree,No,No,No,Telephone,Mon,May,No
38,Services,Married,High School,No,Yes,No,Telephone,Mon,May,No
53,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,May,No
43,Unemployed,Single,University Degree,No,No,No,Telephone,Mon,May,No
36,Blue-Collar,Single,High School,No,No,No,Telephone,Mon,May,No
32,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,May,No
33,Services,Married,Basic 4Y,No,No,No,Telephone,Mon,May,No
58,Entrepreneur,Married,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
40,Unemployed,Divorced,High School,Unknown,No,No,Telephone,Tue,May,No
57,Management,Married,University Degree,No,Yes,No,Telephone,Tue,May,No
45,Technician,Married,High School,No,Yes,No,Telephone,Tue,May,No
42,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Tue,May,No
46,Admin ,Married,University Degree,No,Yes,No,Telephone,Tue,May,No
36,Technician,Married,University Degree,No,No,No,Telephone,Tue,May,No
41,Self-Employed,Married,High School,No,Yes,No,Telephone,Tue,May,No
57,Admin ,Divorced,Basic 9Y,No,No,No,Telephone,Tue,May,No
49,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Tue,May,No
